id,name,brand,price,dept,description
137,22 Inch TV,LG,349.99,8,"This 22 inch TV is the perfect size for any room and offers a great viewing experience. It features a high-resolution display with a wide viewing angle, and comes with a variety of connectivity options, including HDMI, USB and VGA. The TV also has integrated sound and audio systems to ensure a great audio quality. With its sleek and modern design, this TV will enhance any space."
138,25 Inch TV,Sony,499.99,8,"This 25-inch television is perfect for any home. Featuring a crystal clear picture and easy to use controls, this TV will be a great addition to your living room or bedroom. Enjoy watching your favorite shows, movies, and sporting events with stunning clarity. With its sleek design and modern features, this TV is sure to be the centerpiece of your entertainment experience."
139,35 Inch TV,Sony,599.99,8,"This 35 Inch TV offers superior picture quality and a sleek design, perfect for any living room. With its high-definition resolution, advanced picture processing technology, and a wide selection of ports, this TV is perfect for watching your favorite movies and shows. Enjoy the latest streaming services, including Netflix, Hulu, and more, with the included Smart TV features. Enjoy the perfect view from any angle with the adjustable swivel stand."
140,40 Inch TV,LG,349.99,8,"This 40 Inch TV is a perfect addition to any living room with its sleek and modern design. Its large screen size provides an immersive viewing experience, while its full HD resolution ensures that you can enjoy your favorite movies, shows, and games in stunning clarity. It also features multiple ports for connecting your devices, giving you the ultimate entertainment experience."
141,50 Inch TV,Samsung,549.99,8,"This 50 Inch TV provides stunning 4K Ultra HD picture quality with over 8 million pixels, allowing you to experience vivid colors, sharp contrast and an incredibly detailed picture. It also offers HDR10, Dolby Vision, and HLG compatibility for a stunningly realistic picture. With Smart TV access, you can easily stream movies and shows, as well as access a variety of apps and other content. With built-in Wi-Fi, you can easily connect to your home network and enjoy your favorite shows. Enjoy a cinematic experience with Dolby Audio processing, providing clear and powerful sound. This 50 Inch TV is perfect for any living room."
142,60 Inch TV,Samsung,499.99,8,"This 60 Inch TV offers an immersive viewing experience with its crisp, clear visuals and powerful sound. It features 4K UHD resolution for stunningly sharp images, HDR and wide color enhancement for enhanced contrast and color accuracy, and built-in streaming services for easy access to your favorite content. With its sleek and modern design, this TV is perfect for any home theater setup."
143,Home Theatre System,Bose,499.95,8,"Experience the ultimate home theatre experience with this powerful and easy-to-use Home Theatre System. With its surround sound system and high-quality components, this system will bring your movies, music and games to life. The sleek and stylish design blends in with any home décor while the built-in Bluetooth technology allows you to stream your favorite audio from your smartphone or other compatible devices. Enjoy crystal clear sound with deep bass and an immersive audio experience that will make you feel like you're right in the middle of the action."
144,Paper Shredder,SentrySafe,35,23,A paper shredder is a device used to cut paper into small pieces in order to prevent unauthorized access to confidential documents. It is an essential tool for offices and homes to protect personal information and confidential documents from unwanted access. A paper shredder is an easy-to-use device that quickly and securely shreds paper into small pieces. It is a great way to protect important documents and financial information from identity theft and fraud.
145,Audio Cable,Belkin,9.99,8,"This Audio Cable is perfect for connecting stereos, speakers, and other audio equipment. It is made from high-quality materials for maximum durability, and is designed for maximum audio fidelity. It is capable of transmitting both digital and analog audio signals, and features a shielded cable to protect against interference."
146,Webcam,Logitech,49.99,8,"The Webcam is a device designed to capture and transmit digital video images over the internet. It is typically used for video conferencing, streaming video, or taking still photos. It has a built-in microphone for audio capture, and is often compatible with many video and audio formats. It connects to your computer via USB, and is often compatible with many operating systems. With its high-quality video and audio capabilities, the Webcam is an essential tool for anyone who needs to communicate over the internet."
147,Baby Doll,Tender Hearts,19.99,4,"This adorable baby doll is perfect for any child. It has soft, cuddly plush fabric and realistic facial features that will bring a smile to your little one's face. It also comes with a removable outfit that can be changed to match any outfit. This doll is sure to be a favorite for many years to come."
148,3 Drawer Filing Cabinet,HON,547,23,"This 3 Drawer Filing Cabinet is a great way to organize and store important documents, paperwork, and other office supplies. Crafted from sturdy and durable metal, this filing cabinet is designed for long-term use in any office. It features three drawers with lockable handles for added security, and is finished with a sleek black finish that will complement any décor. This 3 Drawer Filing Cabinet is the perfect organizational solution for any office."
149,5 Draw Filing Cabinet,Sauder,229.99,23,"This 5 Draw Filing Cabinet is a great storage solution for any office space. It is made from sturdy metal and features 5 drawers to store and organize your important documents and records. The drawers feature secure locks to keep your items safe and the cabinet has a sleek black finish. This filing cabinet is perfect for any home or office, providing a great way to keep things organized and in one place."
150,Desk Chair,Bizarro Executive Desk Chair,129.99,23,"This desk chair features a comfortable ergonomic design with adjustable height, tilt, and armrests for added comfort and convenience. The chair is upholstered in a soft fabric and features a breathable mesh back panel for breathability. It also has a modern design with wheeled casters for easy mobility and swiveling."
151,Desk Lamp,Ikea,19.99,23,"This modern desk lamp is perfect for illuminating any workspace. With an adjustable arm and three adjustable light settings, it is designed to direct light exactly where you need it. The sleek design will look great in any office or home office. It is energy-efficient and suitable for any desk size."
152,Desk Organizer Set,Cedar Desk Organizer Set,39.99,23,"This Desk Organizer Set is a perfect way to keep your workspace organized and tidy. Made from durable and sturdy plastic, it includes three drawers, one large and two small, for easy storage of all your office supplies. It also has a slide-out tray for added convenience. The sleek and modern design of this desk organizer set will make it a stylish addition to any workspace."
153,Cable Organizers,Cable Organizers,9.99,23,"Cable Organizers are essential for keeping your cables and wires neat and organized. These organizers come in various sizes and shapes and are designed to help you neatly arrange your cables and wires. They can also help protect your cables and wires from wear and tear, as well as prevent them from becoming tangled or knotted. Cable Organizers are an ideal solution for any home or office space."
154,Cold Medicine,Advil Cold & Sinus,9.99,19,"Cold Medicine is an over-the-counter medication used to treat symptoms of the common cold, such as congestion, cough, sore throat, and runny nose. It can also help relieve minor aches and pains that often accompany colds. Cold Medicine can be taken as a pill, liquid, or nasal spray to provide fast and effective relief."
155,Antacids,Tums,5.29,19,"Antacids are over-the-counter medications used to treat heartburn, indigestion, and acid reflux. They work by neutralizing the acid in the stomach and reducing symptoms of discomfort. They are available as tablets, chewable tablets, liquids, and capsules and come in different strengths and formulations."
156,Allergy Medication,Zyrtec,18.99,19,"Allergy Medication is a medication used to treat the symptoms associated with allergies such as sneezing, itching, runny nose, and watery eyes. It works by blocking histamine, a substance in the body that causes allergy symptoms, and reducing inflammation. Allergy Medication can be taken orally or applied topically and is available in different forms such as pills, nasal sprays, and eye drops."
157,Portable Charger,Anker,25.99,8,"This portable charger is a quick and efficient way to charge your devices on the go. It is lightweight and fits easily into your pocket, backpack, or purse. It has multiple ports so you can charge multiple devices at once and has a powerful, long-lasting battery. With its fast-charging capabilities and sleek design, this charger will be your go-to for charging your devices when you're on the go."
158,Pressure Cooker,Pressure Cooker,49.99,20,"The Pressure Cooker is a kitchen appliance designed to cook food quickly using high pressure steam. It is a great way to prepare meals quickly and efficiently, while retaining the flavor and nutrition of the ingredients. It is easy to use and clean and can be used to make a variety of dishes."
159,Crockpot,Crock-Pot,39.99,20,"The Crockpot is a slow cooker that allows you to make delicious and easy meals with minimal effort. It features a programmable timer and adjustable temperature settings, making it easy to set and forget while you go about your day. The Crockpot is perfect for creating hearty meals like stews, soups, chili, casseroles, and more. With its large capacity and easy cleanup, it's the ideal tool for busy households."
160,Steak Knife Set,Wüsthof,99.99,20,"This Steak Knife Set is the perfect addition to any kitchen. It is made from premium quality stainless steel and features a sharp, serrated blade that is perfect for cutting through even the toughest steaks. The handle is ergonomically designed for a comfortable grip and the design is stylish and elegant. This set comes with six steak knives, making it a great choice for entertaining and family meals."
161,Cheese Grater,Cheese Grater,11.99,20,"This cheese grater is perfect for shredding and grating cheese, vegetables and more. It features a durable, stainless steel blade and a comfortable, ergonomic handle for easy grating. The grater is easy to clean and store, and it is dishwasher safe for added convenience."
162,Napkins,Dixie,1.29,12,"These napkins are made with high-quality materials and are perfect for any occasion. They are absorbent and strong, and their vibrant colors will add a touch of elegance to any setting. They are also disposable, making them convenient and easy to use."
163,Coffee Mug,Corelle,9.99,20,"This coffee mug is a classic ceramic design with a comfortable handle for easy sipping. Its glossy finish adds a touch of style to your morning breakfast routine. The mug is microwave and dishwasher safe, making it an ideal choice for everyday use."
164,Water,Aqua,1.29,12,"Water is a clear, odorless, tasteless, and essential liquid for all living things. It is a natural resource that is essential for life and necessary for a variety of everyday activities. Water can be used for drinking, bathing, irrigation, and cleaning. It is also an important component of natural ecosystems, helping to maintain the balance of life on Earth."
165,Coloring Book,Crayola,4.99,5,"This Coloring Book is filled with fun, vibrant illustrations to help you unleash your creativity. Featuring a variety of designs, from animals to mandalas, this book is perfect for all levels of colorists, from beginner to expert. Each page is printed on quality paper, so you can use your favorite coloring tools without worrying about bleed-through. Get creative and let your imagination take you on a wondrous adventure!"
166,Sticker Book,Stickerland,4.99,5,"This Sticker Book is a great way for kids of all ages to express their creativity and explore their imagination. It comes with an assortment of colorful and fun stickers that can easily be used to decorate and personalize your favorite items. The stickers feature a variety of shapes, sizes, and designs to fit any creative project. It's perfect for adding a unique touch to cards, journals, scrapbooks, and more. With this sticker book, kids will have hours of fun as they create their own unique works of art."
167,Highlighters,Bic,1.99,23,"This set of highlighters features a range of bright and vibrant colors that allow you to easily highlight important information in textbooks, documents, and more. The ink is quick drying, smear-proof, and won't bleed through paper. The chisel-tip design allows for both broad and fine highlighting for precision and accuracy. Perfect for students, teachers, and professionals."
168,Graphing Paper,Graphique,8.5,23,"Graphing paper is a specialty paper used for plotting data, drawing diagrams, and creating graphs. It is printed with a grid of fine lines that make it easier to accurately plot points, draw shapes, and write labels. Graphing paper is commonly used in mathematics, engineering, and science classes."
169,Calculator,Casio,19.99,23,"This is a handheld calculator designed for various calculations. It is battery powered and features an easy-to-read LCD display. The calculator is capable of basic arithmetic calculations, such as addition, subtraction, multiplication, and division, as well as more advanced calculations, such as exponents, square roots, and trigonometric functions. It is a great tool for students, professionals, and hobbyists alike."
170,Envelopes,Office Depot,5.99,23,Envelopes are a type of stationery used for sending items such as letters and documents through the mail. They come in a variety of sizes and colors and are made from different materials. Many envelopes feature an adhesive backing that allows them to be sealed securely and quickly. Envelopes are a convenient and secure way to ensure that your important documents reach their destination safely.
171,Stamps,USPS,0.55,23,"Stamps are adhesive labels used to affix postage to mail. They come in various designs, colors, and sizes, and can be used to send letters and packages within and between countries."
172,Christmas Ornament,Old World Christmas,14.99,21,"This Christmas ornament is a festive way to add a touch of holiday cheer to any room. It features a beautiful design with a red and white snowflake pattern, adding a classic seasonal look to your holiday decor. The ornament is made of durable plastic and comes with a ribbon for easy hanging. Brighten up your home this holiday season with this lovely Christmas ornament!"
173,Cola,Coca Cola,1.29,12,"Cola is a popular carbonated soft drink that is enjoyed by people all over the world. This classic drink is made with carbonated water, sugar, caramel color, and a variety of plant-based flavorings. Its refreshing taste has made it a favorite for generations."
174,Cereal,Kellogg's,4.29,12,"Cereal is a convenient breakfast food that is packed with essential vitamins, minerals, and fiber. It is a great way to start your day and can be easily customized with your favorite toppings. Cereal is a delicious and nutritious way to fuel your body and keep you energized throughout the day."
175,Oatmeal,Bob's Red Mill,4.29,12,"Oatmeal is a delicious, nutritious and wholesome breakfast cereal made from oats. It is high in fiber and protein, and it is a great source of energy. Oatmeal is also an excellent source of vitamins, minerals and antioxidants, and it is cholesterol-free and low in saturated fat. Oatmeal is a great way to start the day and is quick and easy to prepare. Enjoy oatmeal hot or cold, as a cereal, in baked goods, or as an ingredient in other dishes."
176,CD Rack,IKEA,19.99,21,"This CD Rack is made of sturdy steel construction and is designed to store and organize your CD collection. It has a modern, sleek look and comes in a variety of colors to match your décor. It is the perfect addition to any home entertainment system and can hold up to 60 CDs. It is easy to assemble and comes with all necessary hardware."
177,DVD,Toshiba,39.99,8,"This DVD contains a variety of entertainment options for your viewing pleasure. It features an assortment of movies, television shows, music videos, and more. With a vast selection of genres and titles, you’re sure to find something that fits your tastes. Enjoy the convenience of watching your favorite shows and movies from the comfort of your own home."
178,Blu-Ray Disc,Sony,24.99,8,"Blu-Ray Discs are an advanced form of digital media storage that allows you to store and watch high-definition movies and other digital content. Blu-Ray Discs are capable of displaying high-definition video resolution up to 1080p and offering up to 7.1 channel surround sound audio. Blu-Ray Discs also feature significantly improved storage capacity compared to traditional DVD discs, allowing for longer play times and higher quality video. They are also more resistant to scratches and other damage."
179,Board Game,Hasbro,5.99,4,"This board game is a fun and exciting way to have a great time with family and friends. It is fast-paced and filled with strategy, as you try to out-maneuver your opponents and be the first to reach the finish line. The game includes a variety of playing pieces and boards, so it can be enjoyed by all ages. It is a great way to spend quality time together, and it is sure to provide hours of entertainment."
180,Milk Frother,Mr. Coffee,19.99,20,"This Milk Frother is the perfect tool for making delicious, creamy froth for your favorite coffee drinks. With its sleek and modern design, it is easy to use and clean. It features a powerful motor that quickly creates a rich, fluffy foam from cold or hot milk. The frother is ideal for making cappuccinos, lattes, mochas, hot chocolates, and other creamy coffee treats. Its ergonomic handle ensures a comfortable grip, making it easy to use. Enjoy barista-quality froth at home with this reliable Milk Frother."
181,Coffee Pot,Mr. Coffee,24.99,20,"This coffee pot is perfect for brewing up to 12 cups of coffee at once. It features a stainless steel body, a programmable timer, and a pause and serve function so you can fill up your cup mid-brew. It also has a built-in water filter for cleaner tasting coffee and an automatic shut-off for convenience."
182,Carafe,Mr. Coffee,15,20,"This sleek carafe is perfect for holding and pouring hot or cold beverages. The double-walled construction and stainless steel lid keep liquids at the perfect temperature. The ergonomic handle makes it easy to carry and pour, while the wide opening makes it easy to fill and clean. This carafe is both stylish and functional, bringing convenience to your kitchen."
183,Coffee Maker,Hamilton Beach,19.99,20,"This coffee maker is an easy to use and efficient way to make your favorite coffee. It features a durable stainless steel construction, a water tank capacity of up to 1.2 liters, adjustable temperature settings, and an auto-shutoff feature for safety. It is also equipped with a reusable filter for your convenience. This coffee maker is the perfect way to enjoy a freshly brewed cup of coffee every morning."
184,Hot Sauce,Cholula,7.99,12,"Hot Sauce is an all-natural, spicy condiment made from a blend of peppers and spices. It adds a burst of flavor to any dish and is perfect for adding a bit of heat to tacos, burritos, burgers, and more. It's low in calories and contains no artificial flavors or colors, making it a perfect choice for health-conscious eaters."
185,Diaper Genie Refills,Euphoria Baby,19.99,6,"Diaper Genie Refills are designed to provide an easy and effective way to dispose of diaper waste. The refills feature a multi-layer film and an enhanced odor-barrier system that locks away odors and germs. They are also compatible with all Diaper Genie pails, making them a perfect choice for parents looking for a reliable, mess-free solution for diaper disposal."
186,Diaper Genie,Diaper Genie,34.99,6,"Diaper Genie is a revolutionary diaper disposal system that eliminates odors and germs, helping keep your nursery smelling fresh. The Diaper Genie pail features an easy-to-use, hands-free design with a built-in antimicrobial agent that helps prevent odor-causing bacteria growth. It also features a built-in refillable film dispenser, a double-lock system that seals away odors, and a foot pedal for easy, hygienic disposal. The Diaper Genie is the perfect way to keep your baby’s nursery smelling fresh and clean."
187,Tablet,Apple,499,8,"A tablet is a mobile device, typically equipped with a touch screen and built-in camera, that is designed to be held in the user's hands and operated with a finger or stylus. Tablets typically offer a variety of features, such as Wi-Fi and cellular connectivity, allowing users to access the internet, send emails, and conduct other activities. They may also include features like GPS, Bluetooth, and multimedia capabilities. Tablets are becoming increasingly popular for users who are looking for a device that is more portable and versatile than a laptop or desktop computer."
188,Tablet Case,Case-Mate,39.99,8,This tablet case is designed to provide maximum protection for your tablet device. It is made of high-quality materials and features a slim design for a comfortable fit. The case is shock-absorbent and provides scratch-resistant protection for your device. It also has a convenient folding stand for easy viewing and typing. The case is lightweight and comes in various colors and designs to suit your style.
189,Deadbolt,Baldwin,145,9,"The Deadbolt is a heavy-duty lock designed to provide maximum security for your premises. Its hardened steel construction and anti-drill design make it resistant to tampering and forced entry. The Deadbolt also features an adjustable latch, allowing you to customize the lock for your door size. This lock is ideal for homes, businesses, and other establishments looking for an extra layer of protection."
190,Screen Door,Pella,279,9,The Screen Door is a great way to keep bugs out while still allowing fresh air in. It is made of durable materials and features a sliding design that allows you to easily open and close the door. The mesh screen will keep out even small insects and the sturdy frame will last for years.
191,Door Handle,Ives,20,9,"This Door Handle is made of durable metal and designed to provide a comfortable, secure grip. Its simple, modern style adds a touch of sophistication to any door. The handle is easy to install and comes with all the necessary mounting hardware. It is corrosion resistant and designed to last for years."
192,Trowel,Dewalt,9.97,3,"The Trowel is a gardening tool designed for digging, scooping, and transferring soil, compost, and other materials. Its long, flat blade is ideal for slicing through soil and its handle provides an ergonomic grip for comfortable use. The Trowel is perfect for use in any gardening or landscaping project, from planting flowers to building raised beds."
193,32G Memory Card,SanDisk,19.99,8,"This 32G Memory Card is a high-performance storage device that provides reliable, high-speed data transfer for your digital camera, smartphone, laptop, or other device. It features a large capacity of 32GB, allowing you to store hundreds of photos, videos, music, documents, and more. It is designed to be durable and reliable, and is compatible with most digital cameras, smartphones, and other devices. It is a great choice for expanding your device's storage capacity and ensuring your important data is always safe and secure."
194,64G Memory Card,SanDisk,19.99,8,"This 64G Memory Card is perfect for storing and transferring photos, videos, music and more. It boasts fast read and write speeds and is compatible with a wide range of devices. It is also shockproof, waterproof and temperature resistant for reliable performance in any situation. With 64G of storage space, you'll have plenty of room for your data."
195,16G Memory Card,SanDisk,24.99,8,"This 16G Memory Card provides an easy and efficient way to store and transfer data. It is compatible with many devices and can store up to 16GB of data. It is durable, reliable, and fast, perfect for storing pictures, music, videos, and other important files."
196,32G USB Stick,SanDisk,19.99,8,"This 32G USB Stick offers a convenient way to transfer and store data. It is compatible with both Windows and Mac operating systems, and provides fast and reliable data transfer with a maximum data rate of up to 5Gbps. The USB stick is small and lightweight, making it easy and convenient to carry around with you. It is also highly durable and reliable, making it a dependable storage solution."
197,64G USB Stick,SanDisk,39.99,8,"This 64G USB Stick is perfect for storing and transferring large amounts of data. It's fast, reliable, and features a convenient design that makes it easy to carry and use. With its large capacity, you can store and transfer large amounts of data quickly and easily. The USB Stick is also compatible with most devices, making it a great choice for transferring data across different platforms."
198,Smart Lock,August,199,8,"The Smart Lock is an innovative, secure and easy-to-use device that allows you to keep your home or office secure, without the hassle of traditional keys and locks. With a simple tap of your smartphone or access card, you can unlock and lock your door. This device is equipped with advanced security features such as auto-lock, tamper alerts, and remote access. It's perfect for anyone looking for a convenient and reliable way to keep their property safe."
199,King Sheet Set,Royalty Collection,129.99,21,"This King Sheet Set is made from soft and luxurious microfiber fabric that is both breathable and wrinkle resistant. It includes a fitted sheet, a flat sheet, and two pillowcases, so you can stay warm and cozy all night long. The fitted sheet has elastic all the way around for a snug fit, and the deep pockets make sure it stays in place. It's perfect for any bedroom and comes in a variety of colors to match your decor."
200,Queen Sheet Set,Mainstays,38.77,21,"This Queen Sheet Set is made from 100% cotton and features a luxurious 1500 thread count for a soft and comfortable night's sleep. The set includes one flat sheet, one fitted sheet, and two pillowcases. The sheets are wrinkle-resistant, fade-resistant, and shrink resistant for long-lasting use. The set is machine washable for easy care and maintenance."
201,Twin Sheet Set,Mainstays,19.88,21,"This Twin Sheet Set is perfect for any bedroom. The set includes one flat sheet, one fitted sheet, and one standard pillowcase. The sheets are made from 100% soft, wrinkle-resistant microfiber fabric for a luxurious feel. The fitted sheet has an elastic all around for a snug fit, and it fits mattresses up to 16"" deep. The set is machine washable for easy care."
202,Smart Light Switch,GE,29.99,8,"The Smart Light Switch is a home automation device that allows you to control your lights from anywhere with your smartphone, tablet or computer. It offers remote access, scheduling and dimming capabilities, and is compatible with both Wi-Fi and Bluetooth. This switch is easy to install and setup, and will give you the control you need to customize your lighting experience."
203,Smart Outlet,Lutron,59.99,8,"The Smart Outlet is a revolutionary device that allows you to control your home's lighting and appliances from your smartphone. This device is compatible with Amazon Alexa and Google Home, making it easy to control your home's lighting and appliances with your voice. The Smart Outlet also features an energy monitoring system that allows you to monitor and control your home's energy consumption, helping you save money on your energy bill. With the Smart Outlet, you can control your home's lighting and appliances from anywhere, anytime."
204,Smart Plug,TP-Link,34.99,8,"The Smart Plug is an innovative device that allows users to control their appliances remotely from their smartphones. It connects to the home Wi-Fi network and can be controlled through the accompanying app. With this device, users can turn appliances on and off, set timers and create schedules, and monitor energy usage. It is the perfect solution for saving energy and money while still having full control of your appliances."
205,Water Filter,Aqua-Pure,54.99,24,"This water filter is designed to remove impurities, bacteria, and other contaminants from drinking water. It uses a multi-stage filtration system to ensure the highest quality, purest water for safe consumption. It is easy to install and maintain, making it an ideal choice for any home or office."
206,Abrasive Brush,3M,22.49,7,"This abrasive brush is a versatile tool that can be used for a variety of cleaning, polishing and finishing jobs. It features a durable construction with stiff nylon bristles that are great for removing dirt, rust, paint and other unwanted materials. The brush is great for use on both hard and soft surfaces, making it a great choice for a wide range of cleaning and polishing tasks. It can be used with water or solvent-based cleaners and is perfect for getting into tight places and hard-to-reach areas."
207,Toothbrush,Oral-B,4.99,19,"This toothbrush is designed to help keep your teeth healthy and strong. It has soft bristles that are gentle on your teeth and gums, and its ergonomic handle makes it comfortable and easy to use. The toothbrush also has a tongue cleaner on the back of the head, which helps to remove bacteria and food particles from the tongue. The toothbrush is made with antibacterial material that helps to reduce tooth decay and plaque buildup."
208,Toothpaste,Aquafresh,2.99,19,"A toothpaste that is formulated to clean teeth and freshen breath. It contains ingredients that help to remove plaque and reduce tooth decay, while also providing a pleasant minty taste. It is gentle on teeth and gums, leaving your mouth feeling refreshed and clean."
209,Deodorant,Dove,4.99,19,"Deodorant is a cosmetic product designed to reduce body odor caused by sweating. It usually contains an antiperspirant agent, fragrance, and other ingredients. It is applied to the underarms and other areas of the body to reduce body odor and wetness."
210,Perfume,"

Chanel No. 5",100,18,"This perfume is a light, floral scent that is perfect for any occasion. It has a delicate blend of rose and jasmine, creating a beautiful and romantic aroma. The scent is long lasting, leaving you feeling fresh and confident all day long."
211,Floss,Crest,2.99,19,"Floss is a dental hygiene product that helps to remove food particles and plaque from between teeth. It is typically used by wrapping it around the index finger and gently moving it back and forth between the teeth. Floss is available in a variety of materials and flavors, making it an easy and effective way to maintain good oral health."
212,Lip Balm,Burt's Bees,3.3,18,"This natural lip balm will keep your lips feeling moisturized and nourished. It's made with nourishing ingredients like beeswax, shea butter, coconut oil, and vitamin E to condition and protect your lips from the elements. It's free of parabens, sulfates, and other harsh chemicals, so you can use it with confidence. With a hint of peppermint essential oil, it smells great too. Keep your lips hydrated and healthy with this natural lip balm."
213,Hand cream,O'Keefe's,5.99,18,"This luxurious hand cream is a unique blend of natural ingredients that nourish, hydrate, and protect your hands. It is fast-absorbing and non-greasy, providing long-lasting hydration and protection without leaving your hands feeling heavy or greasy. It is enriched with vitamins and plant extracts that help to keep your hands looking and feeling soft and supple. The luxurious scent will invigorate your senses and leave your hands feeling pampered."
214,Extension cord,GE,9.99,7,"This is a heavy-duty extension cord that is designed for indoor and outdoor use. It is constructed of thick, durable material to ensure a secure connection and provide safe power transfer. It is UL listed and comes with a lifetime warranty for added peace of mind. This extension cord is perfect for powering a variety of appliances, tools, and other electronic devices."
215,Space Heater,Lasko,29.99,24,"This Space Heater is a powerful and efficient way to heat up any room. It features an adjustable thermostat and multiple heat settings, allowing you to customize the temperature to your comfort level. Its compact design allows it to fit neatly in any space, while its safety features ensure a safe operation. Enjoy the warmth of this space heater in any home or office."
216,Oscillating Fan,Bionaire,29.99,24,"This oscillating fan is designed to keep your living space cool and comfortable. It features adjustable speeds, an oscillating head, and an adjustable tilt angle to direct air flow. It also has a quiet operation and a stylish design to blend in with any décor. This fan is perfect for those hot summer days or to keep a cool breeze flowing in your home all year round."
217,Printer Ink,HP,40,23,"Printer Ink is designed to keep your printer working at its peak performance. It ensures clear, crisp prints and is compatible with a wide range of printer models. Printer Ink is easy to install and affordable, making it a great choice for your home or office printing needs."
218,Level,Red Bull,2.99,7,"Level is a fitness tracking and goal setting app to help people reach their fitness goals. The app provides users with personalized fitness plans and workouts tailored to their individual fitness goals. It also offers a variety of tracking tools to monitor progress, keep motivation high, and help users stay on track with their goals. Additionally, Level provides users with support and accountability, allowing them to connect with like-minded individuals to motivate and encourage each other in their fitness journey."
219,Planer,DEWALT,399,7,"The Planer is a versatile and powerful tool for woodworking projects. It features a powerful motor and adjustable cutting depth, allowing for precise and consistent results. The Planer also includes a dust collection system to keep your workspace clean and a convenient carrying case for easy transport. With the Planer, you can create smooth, level surfaces on any material, from soft woods to hardwoods, quickly and accurately."
220,Mortise Hinge,Amerock,3.29,7,"Mortise hinges are heavy-duty hinges designed to provide maximum support and stability for heavier doors. They are designed to fit into a mortise, or recess, in the edge of the door, and are typically used in commercial and institutional applications. Mortise hinges are available in a variety of sizes and styles, including butt, strap, and continuous geared varieties."
221,Varnish,Minwax,25.48,7,"Varnish is a web application accelerator that acts as an HTTP reverse proxy. It can cache static content and serve it quickly to users, resulting in faster loading speeds and improved performance. Varnish can also be used to secure web applications, improve scalability and reduce server load."
222,Paint Stripper,Klean-Strip,9.97,7,"Paint Stripper is a chemical based product designed to remove paint, sealants, varnishes, and other finishes from surfaces. It is easy to use and provides fast, effective results. It can be used on metal, wood, masonry, and other surfaces to strip away multiple layers of paint or other finishes. Paint Stripper is a safe and effective tool for DIY projects or professional use."
223,Mortar and Pestle,Mortar and Pestle,19.99,20,"A mortar and pestle is a device used to grind and mix herbs, spices, or other ingredients. It is made of a bowl-shaped mortar and a small, heavy, club-shaped pestle. Mortar and pestles are used to grind and powder tough ingredients, such as roots, seeds, and nuts. They are also used for making pesto and other sauces."
224,Wifi Mesh,eero,199,8,"Wifi Mesh is a powerful and reliable wireless networking solution designed to provide a secure and reliable connection throughout your home or office. It provides a single, unified, and seamless wireless network that covers your entire home or office, eliminating dead spots and slowdowns. Wifi Mesh is easy to set up and manage, and is compatible with all major network devices. With Wifi Mesh, you can enjoy fast, stable and secure wireless connectivity wherever you are."
225,Wifi Router,TP-Link,59.99,8,"The Wifi Router is a wireless networking device that allows you to connect multiple devices to the internet. It is easy to set up and configure, providing secure and fast connection speeds for all your devices. With the Wifi Router, you can enjoy streaming media, gaming, and more."
226,DVD Player,Sony,79.99,8,"The DVD Player is a compact device that allows you to watch movies, TV shows, and other audio-visual content on a television or monitor. It has a sleek and modern design that makes it perfect for any home entertainment setup. It has an easy to use remote control, allowing you to control playback and access menu options with a few simple button presses. It also offers quick access to the most popular formats, including DVD, CD, VCD, and MP3. With a high-quality video output, you can enjoy clear and crisp visuals with every movie and TV show you play."
227,Blu-Ray Player,Sony,79.99,8,"A Blu-ray Player is an electronic device that allows you to play Blu-ray discs, which are high-definition discs that offer superior picture and sound quality compared to standard DVDs. Blu-ray Players are available in a variety of styles and include features such as streaming services, Wi-Fi and 3D capabilities for an immersive viewing experience."
228,Wifi Extender,Linksys,49.99,8,"The Wifi Extender is a device that increases the range of a wireless network by boosting the signal strength. It is an ideal solution for homes or offices that have spotty wifi coverage or dead zones. It is easy to set up and compatible with most routers, allowing for seamless integration with existing networks. With its compact design, the Wifi Extender is perfect for discreet placement in any room."
229,Septic Tank Treatment,"

Clean-Flo",24.99,24,"Septic Tank Treatment is an all-natural product designed to maintain septic tanks and systems. It contains a blend of beneficial bacteria, enzymes, and natural ingredients that help break down waste, reduce odors, and prevent clogs. It's safe for use in homes, businesses, and RV's, and is easy to use with regular maintenance."
230,Toilet Brush,Clorox,29.97,24,"This Toilet Brush is designed to make it easier to keep your toilet clean and hygienic. The brush is made of durable plastic and has a long handle for easy reach. The contoured bristles are designed to reach all areas of the toilet, making it easier to scrub away dirt and grime. The brush also has a hanging loop for convenient storage."
231,Cilantro,Cilantro,0.99,12,"Cilantro is a flavorful herb that adds a zesty, citrusy flavor to dishes. It is widely used in Mexican, Latin American, and Asian cuisines. It is a great addition to salads, soups, and sauces. Its unique flavor makes it a popular ingredient for guacamole and salsa. Cilantro is an excellent source of vitamins A, C, and K, and is rich in antioxidants."
232,Spinach,Spinach,1.5,12,"Spinach is a dark green leafy vegetable that is a great source of vitamins, minerals, and fiber. It is a low calorie and nutrient dense food that can be eaten raw or cooked. Spinach is a great addition to salads, smoothies, soups, and other dishes. Its mild flavor makes it a versatile ingredient and its nutritional benefits make it a healthy choice."
